record_id,estudio,idioma,fuente_del_idioma,version_inglesa,veredicto,pmid,revista,titulo
Re198b54d4f,96,eng,Europe PMC (campo language),,elegible,,Antibiotics,Low immunogenicity of intravesical phage therapy for urogenitary tract infections
R3d7a0bb6e2,97,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,,elegible,,https://clinicaltrials.gov/show/NCT04815798,Phage Therapy for the Prevention and Treatment of Pressure Ulcers
Rcb166dcd37,97,eng,ficha de registro de ensayo: el registro publica en ingles,,elegible,,,Phage Therapy for the Prevention and Treatment of Pressure Ulcers.
Rc14af04e09,98,eng,Europe PMC (campo language),,elegible,35183435,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Bacteriophage therapy as a treatment option for complex cardiovascular implant infection: The German Heart Center Berlin
R96667a0c25,99,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,,elegible,,https://trialsearch.who.int/Trial2.aspx?TrialID=ACTRN12623000542695,Evaluation of safety and effectiveness of a nebulised phage cocktail in patients with chronic rhinosinusitis (CRS)
R4fb3c8bdc8,100,rus,exportacion de Scopus (brazo B) (campo de idioma),,excluir,,Infektsionnye Bolezni,Personalized phagotherapy in the treatment of healthcare-associated infections caused by multidrug-resistant pathogens
R2395232511,101,eng,Europe PMC (campo language),,elegible,,Biomedicines,The Efficacy of Inhaled Phage Cocktail to Prevent Ventilator-Associated Pneumonia in Children: A Double-Blind Clinical T
R1ea2de24a9,101,eng,Europe PMC (campo language),,elegible,41007666,Biomedicines,The Efficacy of Inhaled Phage Cocktail to Prevent Ventilator-Associated Pneumonia in Children: a Double-Blind Clinical T
Rc16af7be8b,102,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,,elegible,,https://trialsearch.who.int/Trial2.aspx?TrialID=ChiCTR2600122738,"A randomized, double-blind clinical trial of phage nebulized inhalation for the treatment of respiratory tract infection"
R7456f123b7,103,rus,Europe PMC (campo language),Khirurgiya. Zhurnal im. N.I. Pirogova: version inglesa integra en mediasphera.ru,elegible,41885494,Pirogov Russian Journal of Surgery,Phage therapy of purulent wounds: comparative clinical cytomorphological and microbiological analysis of effectiveness; 
Rb19dcd4efb,104,eng,ficha de registro de ensayo: el registro publica en ingles,,elegible,,,Bacteriophage Clinical Trial for Periprosthetic Joint Infection of Multidrug Resistant Pseudomonas Aeruginosa
Rad03dbff94,105,eng,Europe PMC (campo language),,elegible,30060002,The Journal of antimicrobial chemotherapy,Innovations for the treatment of a complex bone and joint infection due to XDR Pseudomonas aeruginosa including local ap
R4c045cf31e,106,eng,Europe PMC (campo language),,elegible,29588855,"Evolution, medicine, and public health",Phage treatment of an aortic graft infected with Pseudomonas aeruginosa.
