estudio,clave,situacion,orden,record_id,tipo_informe,informe_para_extraer,informes_del_estudio,anio,revista,titulo
47,T:bacteriophagesasadjuvanttoantibioticsforthetreatmentofperiprostheticjointinfecti,extraible,122,Red52d0884d,articulo,SI,1,2019,Antimicrobial agents and chemotherapy,Bacteriophages as Adjuvant to Antibiotics for the Treatment of Periprosthetic Joint Infection Caused by Multidrug-Resistant Pseudomonas aeruginosa.
48,T:applicationofphagetherapyinacaseofachronichipprostheticjointinfectionduetopseudo,extraible,125,Rcdf0cd1678,articulo,SI,1,2023,Open forum infectious diseases,Application of Phage Therapy in a Case of a Chronic Hip-Prosthetic Joint Infection due to Pseudomonas aeruginosa: An Italian Real-Life Experience and In Vitro Analysis.
49,T:developmentofhostimmuneresponsetobacteriophageinalungtransplantrecipientonadjunc,extraible,128,R0785077af4,articulo,SI,1,2023,The Journal of infectious diseases,Development of Host Immune Response to Bacteriophage in a Lung Transplant Recipient on Adjunctive Phage Therapy for a Multidrug-Resistant Pneumonia.
50,NCT05883995,extraible,130,R50e1887412,articulo,SI,2,2024,International journal of antimicrobial agents,Access to phage therapy at Hospices Civils de Lyon in 2022: Implementation of the PHAGEinLYON Clinic programme.
50,NCT05883995,extraible,9279,R663b355c69,ficha de registro,no,2,2023,,Avis-PHAGEinLYON Clinic
51,T:casereportlocalbacteriophagetherapyforfracturerelatedinfectionwithpolymicrobialm,extraible,131,R79b5603bcb,articulo,SI,1,2024,Frontiers in Medicine,Case report: Local bacteriophage therapy for fracture-related infection with polymicrobial multi-resistant bacteria: hydrogel application and postoperative phage analysis through metagenomic sequencing
52,NCT04684641,extraible,132,R9c54b30733,resumen de congreso,no,5,2024,American journal of respiratory and critical care medicine,Cystic Fibrosis Bacteriophage Study at Yale (CYPHY)
52,NCT04684641,extraible,218,Rcea9abc521,resumen de congreso,no,5,2023,Journal of cystic fibrosis,CYstic Fibrosis bacterioPHage study at Yale (CYPHY)
52,NCT04684641,extraible,219,Rdd0e4fa658,articulo,SI,5,2023,Journal of cystic fibrosis,CYstic Fibrosis bacterioPHage study at Yale (CYPHY)
52,NCT04684641,extraible,699,R995494cde1,ficha de registro,no,5,2020,https://clinicaltrials.gov/show/NCT04684641,CYstic Fibrosis bacterioPHage Study at Yale (CYPHY)
52,NCT04684641,extraible,4540,R46ad854611,ficha de registro,no,5,2021,,CYstic Fibrosis bacterioPHage Study at Yale (CYPHY)
53,T:phageantibioticcombinationtherapyagainstrecurrentpseudomonassepticaemiainapatien,extraible,135,R067acd0a39,articulo,SI,1,2024,"Antibiotics (Basel, Switzerland)",Phage-Antibiotic Combination Therapy against Recurrent Pseudomonas Septicaemia in a Patient with an Arterial Stent.
54,T:bacteriophagetherapyforchronicmastoiditis,extraible,137,Rb03837dd03,articulo,SI,1,2025,"Otology & neurotology : official publication of the American Otological Society, American Neurotology Society [and] European Academy of Otology and Neurotology",Bacteriophage Therapy for Chronic Mastoiditis.
55,T:bacteriophagetherapyinwomenwithchronicrecurrentcystitiscausedbymultidrugresistan,extraible,138,Rd343ee57dd,articulo,SI,1,2025,Current Urology,"Bacteriophage therapy in women with chronic recurrent cystitis caused by multidrug-resistant bacteria: A prospective, observational, comparative study"
56,NCT06870409,solo-registro,140,R66c7c93018,ficha de registro,SI,2,2025,https://clinicaltrials.gov/study/NCT06870409,Bacteriophages in Addition to Antibiotics for the Treatment of Patients with Infective Endocarditis
56,NCT06870409,solo-registro,1966,R5b4b3e9cf3,ficha de registro,no,2,2025,,Bacteriophages in Addition to Antibiotics for the Treatment of Patients With Infective Endocarditis
57,T:phagetherapyasarescuetreatmentforrecurrentpseudomonasaeruginosabentallinfection,extraible,141,Rd428980732,articulo,SI,1,2025,Viruses,Phage Therapy as a Rescue Treatment for Recurrent Pseudomonas aeruginosa Bentall Infection.
58,T:resolutionofacuterejectioninabilateraldoublelungtransplantedcysticfibrosispatien,extraible,142,R1705a32c41,articulo,SI,1,2025,ASM case reports,Resolution of acute rejection in a bilateral double-lung transplanted cystic fibrosis patient following phage intervention.
59,T:antiphageantibodyresponseinphagetherapyagainsthealthcareassociatedinfectionshais,extraible,151,R1add858cdd,articulo,SI,1,2017,Infektsionnye Bolezni,Anti-phage antibody response in phage therapy against healthcare-associated infections (HAIs)
60,T:clinicalindicationsandcompassionateuseofphagetherapypersonalexperienceandliterat,extraible,154,Rd3d851640e,articulo,SI,1,2018,Viruses,Clinical Indications and Compassionate Use of Phage Therapy: Personal Experience and Literature Review with a Focus on Osteoarticular Infections.
61,T:earlyclinicalexperienceofbacteriophagetherapyin3lungtransplantrecipients,extraible,156,R85f6503e9a,articulo,SI,1,2019,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,Early clinical experience of bacteriophage therapy in 3 lung transplant recipients.
62,T:bacteriophageantibioticcombinationtherapyagainstextensivelydrugresistantpseudomo,extraible,169,Rb506e81130,articulo,SI,1,2022,Nature Communications ,Bacteriophage-antibiotic combination therapy against extensively drug-resistant Pseudomonas aeruginosa infection to allow liver transplantation in a toddler.
63,T:singlearmopenlabelledsafetyandtolerabilityofintrabronchialandnebulisedbacterioph,extraible,181,R436ad33f7e,articulo,SI,1,2023,BMJ open respiratory research,"Single-arm, open-labelled, safety and tolerability of intrabronchial and nebulised bacteriophage treatment in children with cystic fibrosis and Pseudomonas aeruginosa."
64,T:adjunctivebacteriophagetherapyforrefractoryresistantpseudomonasaeruginosainfecti,extraible,185,Rb93cd3cbd9,articulo,SI,1,2025,International journal of antimicrobial agents,Adjunctive bacteriophage therapy for refractory/resistant Pseudomonas aeruginosa infections: Bottlenecks and proposed solutions.
65,T:successfulphagetherapyinapatientwithprostheticjointinfectiontratamientoexitosoco,extraible,193,Rdfeb34f4ef,articulo,SI,1,2025,Enfermedades Infecciosas y Microbiologia Clinica,Successful phage therapy in a patient with prosthetic joint infection; [Tratamiento exitoso con fagoterapia en una paciente con infección periprotésica]
66,NCT04323475,solo-registro,207,R9a7778c237,ficha de registro,no,2,2020,https://clinicaltrials.gov/show/NCT04323475,Phage Therapy for the Prevention and Treatment of Wound Infections in Burned Patients
66,NCT04323475,solo-registro,351,Rced39d2e31,ficha de registro,SI,2,2022,,Phage Therapy for the Prevention and Treatment of Wound Infections in Burned Patients
68,T:athreepartrandomizeddoubleblindplacebocontrolledparallelgroupsadandmdclinicalstu,solo-registro,216,R93635b599b,ficha de registro,SI,1,2023,https://trialsearch.who.int/Trial2.aspx?TrialID=CTIS2023-507203-55-00,"A three part randomized, double-blind, placebo-controlled, parallel group SAD and MD clinical study to evaluate the safety, tolerability and preliminary efficacy of an inhaled (nebulized) phage cocktail in healthy subjects and in patients with chronic colonization of the lung with Pseudomonas aeruginosa"
69,T:atwopartrandomizeddoubleblindplacebocontrolledparallelgroupsadandmdclinicalstudy,solo-registro,217,R3bdd2fe777,ficha de registro,SI,1,2023,https://trialsearch.who.int/Trial2.aspx?TrialID=CTIS2022-503145-22-00,"A two part, randomized, double-blind, placebo-controlled, parallel group SAD and MD clinical study to evaluate the safety, tolerability and preliminary efficacy of an inhaled (nebulized) phage cocktail in healthy subjects and in patients with chronic colonization of the lung with Pseudomonas aeruginosa"
70,T:compassionateuseofbacteriophagesforfailedpersistentinfectionsduringthefirst5year,extraible,220,R92876627c6,articulo,SI,1,2023,Open Forum Infectious Diseases,Compassionate Use of Bacteriophages for Failed Persistent Infections During the First 5 Years of the Israeli Phage Therapy Center
71,T:investigatingphagetherapyinthepreventionofventilatorinducedbacterialpneumoniainp,solo-registro,222,R2e350dba66,ficha de registro,SI,1,2023,https://trialsearch.who.int/Trial2.aspx?TrialID=IRCT20230701058628N1,Investigating phage therapy in the prevention of ventilator-induced bacterial pneumonia in patients admitted to the pediatric intensive care unit
72,NCT06605651,solo-registro,230,R63f460ad1a,ficha de registro,no,2,2024,https://clinicaltrials.gov/study/NCT06605651,Proof of Concept Study to Assess Safety and Efficacy of Phage Therapy in Hip or Knee Prosthetic Joint Infections Due to Staphylococcus Aureus Treated by DAIR
72,NCT06605651,solo-registro,651,R6cfa72b38c,ficha de registro,SI,2,2026,,Proof of Concept Study to Assess Safety and Efficacy of Phage Therapy in Hip or Knee Prosthetic Joint Infections Due to Staphylococcus Aureus Treated by DAIR.
73,T:bacteriophagetherapyofchronicnonhealingwoundclinicalstudy,extraible,253,R607037aeaa,articulo,SI,1,2019,The international journal of lower extremity wounds,Bacteriophage Therapy of Chronic Nonhealing Wound: Clinical Study.
74,T:bacteriophagetherapyforcriticalinfectionsrelatedtocardiothoracicsurgery,extraible,259,R93e07521e9,articulo,SI,1,2020,"Antibiotics (Basel, Switzerland)",Bacteriophage Therapy for Critical Infections Related to Cardiothoracic Surgery.
75,T:phagetherapyinantibioticresistantpneumoniaimmunomodulationorredistribution,extraible,264,R4e80e5028d,articulo,SI,1,2021,Medical Immunology (Russia),Phage therapy in antibiotic resistant pneumonia: Immunomodulation or redistribution?; [ФАГОТЕРАПИЯ АНТИБИОТИКОРЕЗИСТЕНТНОЙ ПНЕВМОНИИ: ИММУНОМОДУЛЯЦИЯ ИЛИ ПЕРЕРАСПРЕДЕЛЕНИЕ?]
76,T:experienceusingadjuvantbacteriophagetherapyforthetreatmentof10recalcitrantperipr,extraible,274,R66891a5069,articulo,SI,1,2023,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,Experience Using Adjuvant Bacteriophage Therapy for the Treatment of 10 Recalcitrant Periprosthetic Joint Infections: A Case Series.
77,T:pseudomonasaeruginosaventricularassistdeviceinfectionsfindingsfromineffectivepha,extraible,278,Rf41ce1f437,articulo,SI,1,2024,Antimicrobial agents and chemotherapy,Pseudomonas aeruginosa ventricular assist device infections: findings from ineffective phage therapies in five cases.
