id,situacion,anio,revista,titulo,n_informes,diseno,n_brazo,procedencia,texto_completo,clave_de_estudio
EST-103,extraible,2026,Pirogov Russian Journal of Surgery,Phage therapy of purulent wounds: comparative clinical cytomorphological and microbiological analysis of effectiveness; [Фаготерапиягнойныхран:сравнительныйклинико-цитоморфологический и микробиологический анализ эффективности],1,RCT,80,Rusia,no,T:phagetherapyofpurulentwoundscomparativeclinicalcytomorphologicalandmicrobiologic
EST-104,solo-registro,,,Bacteriophage Clinical Trial for Periprosthetic Joint Infection of Multidrug Resistant Pseudomonas Aeruginosa,1,,,,no,NCT06798168
EST-105,extraible,2018,The Journal of antimicrobial chemotherapy,Innovations for the treatment of a complex bone and joint infection due to XDR Pseudomonas aeruginosa including local application of a selected cocktail of bacteriophages.,1,case report,1,,no,T:innovationsforthetreatmentofacomplexboneandjointinfectionduetoxdrpseudomonasaeru
EST-106,extraible,2018,"Evolution, medicine, and public health",Phage treatment of an aortic graft infected with Pseudomonas aeruginosa.,1,case report,1,,sí,T:phagetreatmentofanaorticgraftinfectedwithpseudomonasaeruginosa
EST-107,solo-registro,2022,,Bacteriophage Therapy in First Time Chronic Prosthetic Joint Infections,1,,,,no,NCT05269121
EST-108,extraible,2024,Nature microbiology,"Personalized bacteriophage therapy outcomes for 100 consecutive cases: a multicentre, multinational, retrospective observational study.",2,retrospective cohort,100,multicentrico (internacional),sí,NCT05498363
EST-110,extraible,2024,"Methods in molecular biology (Clifton, N.J.)",Successful Use of Phage and Antibiotics Therapy for the Eradication of Two Bacterial Pathogens from the Respiratory Tract of an Infant.,1,case report,1,,no,T:successfuluseofphageandantibioticstherapyfortheeradicationoftwobacterialpathogen
EST-111,solo-registro,2025,https://clinicaltrials.gov/study/NCT07202234,Bacteriophage Cocktail Therapy for Multidrug-Resistant Gram-Negative Ventilator-Associated Pneumonia,2,,,,no,NCT07202234
EST-112,solo-registro,2025,,Safety of Combined Intravenous Antibiotic and Bacteriophage Therapy in Adults With Cystic Fibrosis and Antibiotic-Resistant Lung Infections,1,,,,no,NCT07280598
EST-113,solo-registro,2026,https://clinicaltrials.gov/study/NCT07619924,Randomized Controlled Study on the Safety and Efficacy of Phage Cocktail in the Treatment of Multidrug-Resistant Bacterial Skin Infections,2,,,,no,NCT07619924
EST-114,solo-registro,,,Personalized Phage Treatment in Covid-19 Patients With Bacterial Co-Infections Microbials for Pneumonia or Bacteremia/Septicemia,1,,,,no,NCT04636554
