nct_id,arms,briefTitle,overallStatus,date,studyType,phases,count,conditions,interventions,name
NCT02116010,A_condition_and_intervention;B_intervention_only,Evaluation of Phage Therapy for the Treatment of Escherichia Coli and Pseudomonas Aeruginosa Wound Infections in Burned Patients,UNKNOWN,2015-07,INTERVENTIONAL,PHASE1; PHASE2,,Wound Infection,"E. coli Phages cocktail; Standard of care : Silver Sulfadiazine; P. Aeruginosa, Phages cocktail",Phagenix
NCT02664740,B_intervention_only,Standard Treatment Associated With Phage Therapy Versus Placebo for Diabetic Foot Ulcers Infected by S. Aureus,NOT_YET_RECRUITING,2026-09-01,INTERVENTIONAL,PHASE1; PHASE2,60,Diabetic Foot; Staphylococcal Infections,Topical anti-Staphylococcus bacteriophage therapy; Topical placebo corresponding to anti-Staphylococcus bacteriophage therapy,Centre Hospitalier Universitaire de Nīmes
NCT02757755,B_intervention_only,Ascending Dose Study of the Safety of AB-SA01 When Topically Applied to Intact Skin of Healthy Adults,COMPLETED,2016-05,INTERVENTIONAL,PHASE1,12,Healthy Volunteers,AB-SA01 (10^8 PFU per phage); AB-SA01 (10^9 PFU per phage); Placebo (for Cohort 10^8); Placebo (for Cohort 10^9),"Armata Pharmaceuticals, Inc."
NCT02925533,B_intervention_only,Ph 1B B-701 in Combination With Pembrolizumab in Metastatic Transitional Cell Carcinoma of the Urothelial Tract,TERMINATED,2016-12-14,INTERVENTIONAL,PHASE1,1,Bladder Cancer,B-701; Pembrolizumab,"Mark Pomerantz, MD"
NCT02957370,B_intervention_only,Molecular Biosensors for Detection of Bladder Cancer,UNKNOWN,2015-06-11,OBSERVATIONAL,,230,Urinary Bladder Neoplasms,,"University of California, Irvine"
NCT03009903,B_intervention_only,Evaluation and Detection of Facial Propionibacterium Acnes Bacteria and Phage,UNKNOWN,2017-01,OBSERVATIONAL,,400,Acne,,MBcure Ltd
NCT03140085,B_intervention_only,Bacteriophages for Treating Urinary Tract Infections in Patients Undergoing Transurethral Resection of the Prostate,COMPLETED,2017-06-02,INTERVENTIONAL,PHASE2; PHASE3,97,Intravesical Bacteriophage Treatment for Urinary Tract Infections,PYO Phage; Antibiotics; Sterile bacteriology media,Balgrist University Hospital
NCT03231267,B_intervention_only,Existence in the Human Digestive Flora of Phages Able to Prevent the Acquisition of Multiresistant Enterobacteria,UNKNOWN,2018-02-12,OBSERVATIONAL,,460,Multiresistant Enterobacteriaceae,,Assistance Publique - Hôpitaux de Paris
NCT03269617,B_intervention_only,PHAGE Study: Bacteriophages as Novel Prebiotics,COMPLETED,2016-10-01,INTERVENTIONAL,NA,43,"Gastrointestinal Disorder, Functional",Bacteriophage mixture; Placebo Control,Colorado State University
NCT03296631,B_intervention_only,Phages Dynamics and Influences During Human Gut Microbiome Establishment,TERMINATED,2017-09-05,OBSERVATIONAL,,19,Human Gut Microbiome Development,collection of diapers with fresh stools,Institut Pasteur
NCT03326947,B_intervention_only,Phage II Trial of Stathmin as Predictive Biomarker for TPF Induction Chemotherapy in OSCC,RECRUITING,2018-01-01,INTERVENTIONAL,PHASE2,60,Neoplasm Neck,"docetaxel, cisplatin and 5-fluorouracil",Shanghai Jiao Tong University School of Medicine
NCT03374033,B_intervention_only,High Protein and High Energy Intakes and Physical Activity on Growth of Extremely Low Birth Weight Infants,UNKNOWN,2017-04-10,INTERVENTIONAL,NA,200,"Infant, Very Low Birth Weight",NUTR +; STIMUL +,Università Politecnica delle Marche
NCT03395743,A_condition_and_intervention;B_intervention_only,"Individual Patient Expanded Access for AB-PA01, an Investigational Anti-Pseudomonas Aeruginosa Bacteriophage Therapeutic",NO_LONGER_AVAILABLE,,EXPANDED_ACCESS,,,,AB-PA01,"Armata Pharmaceuticals, Inc."
NCT03395769,B_intervention_only,"Individual Patient Expanded Access for AB-SA01, an Investigational Anti-Staphylococcus Aureus Bacteriophage Therapeutic",NO_LONGER_AVAILABLE,,EXPANDED_ACCESS,,,,AB-SA01,"Armata Pharmaceuticals, Inc."
NCT03639246,B_intervention_only,Efficacy and Safety Study of AVB-S6-500 in Patients With Platinum-Resistant Recurrent Ovarian Cancer,COMPLETED,2018-12-06,INTERVENTIONAL,PHASE1,53,Ovarian Cancer,AVB-S6-500; Paclitaxel (Pac); Pegylated liposomal doxorubicin (PLD); Placebo,"Aravive, Inc."
NCT03808103,B_intervention_only,Safety and Efficacy of EcoActive on Intestinal Adherent Invasive E. Coli in Patients With Inactive Crohn's Disease,ACTIVE_NOT_RECRUITING,2019-05-01,INTERVENTIONAL,PHASE1; PHASE2,30,Crohn Disease,Placebo; Bacteriophage preparation,"Intralytix, Inc."
NCT03835520,B_intervention_only,Prospective Collection of Tumor Biopsy and Plasma Samples From Cancer Patients Treated With Molecular Targeted Therapies or Immunotherapy,ACTIVE_NOT_RECRUITING,2018-07-11,INTERVENTIONAL,NA,200,Cancer,Immunotherapeutic Agent; Molecular Target,Cliniques universitaires Saint-Luc- Université Catholique de Louvain
NCT03972826,B_intervention_only,Use of Provodine to Protect HCW Hands (Aim II.1),TERMINATED,2016-01-01,INTERVENTIONAL,NA,27,Infection,Provodine,University of Iowa
NCT04191148,B_intervention_only,"Safety, Tolerability, and PK of LBP-EC01 in Patients With Lower Urinary Tract Colonization Caused by E. Coli",COMPLETED,2019-12-30,INTERVENTIONAL,PHASE1,36,Urinary Tract Infections,LBP-EC01; Placebo,Locus Biosciences
